id=A123, gender=M, age=20, sales=123, bmi=Normal, salary=109, birthday=24-10-1996
id=X411, gender=F, age=41, sales=431, bmi=Obesity, salary=321, birthday=24-08-1975
id=K021, gender=M, age=35, sales=290, bmi=Overweight, salary=20, birthday=20-10-1982
id=K022, gender=F, age=29, sales=301, bmi=Normal, salary=150, birthday=11-01-1988
id=J102, gender=F, age=30, sales=846, bmi=Underweight, salary=847, birthday=29-02-1987
id=J207, gender=M, age=22, sales=231, bmi=Normal, salary=423, birthday=22-02-1995
id=J836, gender=F, age=21, sales=124, bmi=Overweight, salary=109, birthday=10-10-1996
id=Q090, gender=M, age=50, sales=504, bmi=Normal, salary=406, birthday=23-05-1967
id=Q748, gender=F, age=52, sales=421, bmi=Underweight, salary=544, birthday=17-03-1965
id=R786, gender=M, age=19, sales=243, bmi=Normal, salary=423, birthday=25-07-1998
id=R010, gender=F, age=38, sales=122, bmi=Normal, salary=423, birthday=29-06-1979
id=B209, gender=F, age=35, sales=242, bmi=Obesity, salary=124, birthday=17-11-1982
id=A32, gender=M, age=45,  sales=7, bmi=underweight, salary=25.093, birthday=1971-11-22
id=A45, gender=F, age=40, sales=12, bmi=normal, salary=34.029, birthday=1976-11-45
id=B34, gender=X, age=35,  sales=9, bmi=overweight, salary=23.048, birthday=1981-11-22
id=B35, gender=F, age=30, sales=22, bmi=obese, salary=46.453, birthday=1886-11-22
id=C93, gender=M, age=25, sales=43, bmi=skinny, salary=57.455, birthday=1991-11-22
id=C87, gender=F, age=20, sales=12, bmi=underweight, salary=30.344, birthday=1996-11-22
id=C87, gender=M, age=50, sales=22, bmi=normal, salary=59.455, birthday=1966-11-22
id=D38, gender=F, age=39, sales=23, bmi=overweight, salary=47.837, birthday=1971-11-22
id=D87, gender=M, age=40, sales=12, bmi=normal, salary=34.029, birthday=1976-11-22
id=E39, gender=F, age=35, sales=14, bmi=overweight, salary=39.038, birthday=1981-11-22
id=E001, gender=F, age=24, sales=123, bmi=Overweight, salary=350, birthday=08-05-1992
id=E002, gender=M, age=26, sales=145, bmi=Obesity, salary=330, birthday=08-05-1990
id=E003, gender=F, age=25, sales=134, bmi=Normal, salary=700, birthday=10-07-1991
id=E004, gender=F, age=31, sales=134, bmi=Obesity, salary=330, birthday=23-06-1985
id=E005, gender=M, age=42, sales=235, bmi=Underweight, salary=200, birthday=14-09-1974
id=E006, gender=F, age=21, sales=100, bmi=Normal, salary=345, birthday=12-11-1995
id=E007, gender=M, age=25, sales=138, bmi=Normal, salary=128, birthday=17-12-1991
id=E008, gender=F, age=27, sales=490, bmi=Obesity, salary=200, birthday=14-09-1989
id=E009, gender=F, age=28, sales=490, bmi=Obesity, salary=200, birthday=14-09-1988
id=E010, gender=M, age=27, sales=490, bmi=Overweight, salary=200, birthday=14-09-1989
id=A666, gender=M, age=24, sales=242, bmi=Normal, salary=54, birthday=28-03-1992
id=A272, gender=M, age=16, sales=699, bmi=Normal, salary=199, birthday=16-02-2001
id=B201, gender=M, age=27, sales=242, bmi=Normal, salary=54, birthday=20-02-1990
id=Y020, gender=F, age=26, sales=242, bmi=Normal, salary=54, birthday=08-03-1991
id=X205, gender=M, age=24, sales=242, bmi=Normal, salary=54, birthday=30-02-1996
id=Y200, gender=F, age=26, sales=242, bmi=Normal, salary=54, birthday=28-33-1996
id=A272, gender=M, age=19, sales=699, bmi=Normal, salary=199, birthday=05-05-1992
id=A22, gender=M, age=24, sales=699, bmi=Normal, salary=19, birthday=04-05-1992
id=A212, gender=, age=24, sales=699, bmi=Normal, salary=199, birthday=05-05-1992
id=A666, gender=F, age=24, sales=242, bmi=Normal, salary=54, birthday=28-03-1992
id=A123, gender=M, age=26, sales=987, bmi=Overweight, salary=192, birthday=14-10-1990
id=B234, gender=M, age=28, sales=749, bmi=Normal, salary=749, birthday=28-08-1988
id=C345, gender=F, age=42, sales=765, bmi=Underweight, salary=821, birthday=18-07-1974
id=D456, gender=F, age=52, sales=876, bmi=Obesity, salary=238, birthday=21-09-1964
id=E567, gender=M, age=41, sales=893, bmi=Normal, salary=298, birthday=11-09-1975
id=X12, gender=M, age=64, sales=918, bmi=Obesity, salary=98, birthday=01-01-1953
id=X123, gender=M, age=29, sales=9999, bmi=Normal, salary=871, birthday=23-05-1987
id=X234, gender=M, age=25, sales=999, bmi=Tooheavy, salary=123, birthday=01-06-1991
id=X345, gender=F, age=49, sales=999, bmi=Normal, salary=123, birthday=1968-02-31
id=X456, gender=F, age=75, sales=999, bmi=Normal, salary=984, birthday=1968-02.29
id=J123, gender=Male, age=20, sales=200, bmi=Normal, salary=200, birthday=07-05-1996
id=H234, gender=Female, age=24, sales=400, bmi=Overweight, salary=500, birthday=03-02-1993
id=G555, gender=M, age=21, sales=2, bmi=Overweight, salary=25, birthday=03-02-2000
id=E001, gender=F, age=17, sales=350, bmi=Obesity, salary=420, birthday=01-01-2000
id=L223, gender=M, age=100, sales=0, bmi=Average, salary=567, birthday=01-01-1917
id=J123, gender=M, age=20, sales=200, bmi=Normal, salary=200, birthday=07-05-1996
id=B007, gender=M, age=40, sales=500, bmi=Normal, salary=100, birthday=21-02-1977
id=Z555, gender=F, age=21, sales=52, bmi=Underweight, salary=380, birthday=17-03-1996
id=T099, gender=F, age=18, sales=15, bmi=Obesity, salary=0, birthday=25-08-1998
id=456H, gender=Both, age=150, sales=0, bmi=Underweight, salary=50, birthday=05-05-1855
